"9787543945623","战争改变历史","马克斯·布特","68.00","上海科学技术文献出版社","http://img3.douban.com/spic/s6328220.jpg"
"9787501410514","古拉格群岛（上中下）","[俄] 亚历山大·索尔仁尼琴","96.00","群众出版社","http://img3.douban.com/spic/s1323837.jpg"
"9787301218181","电影研究关键词","[英]苏珊·海沃德","82.00","北京大学出版社","http://img3.douban.com/spic/s26368453.jpg"
"9787536053281","夹边沟记事","杨显惠","34.00","花城出版社","http://img3.douban.com/spic/s9297850.jpg"
"9787510056307","希腊人","[美]罗伯特·B·科布里克(Robert B. Kebric)","39.80","世界图书出版公司·后浪出版公司","http://img3.douban.com/spic/s24920597.jpg"
"9787108016386","15至18世纪的物质文明、经济和资本主义（全三卷）","[法] 费尔南·布罗代尔","90.00","生活·读书·新知三联书店","http://img3.douban.com/spic/s1943887.jpg"
"9787806817919","近代中国社会的新陈代谢","陈旭麓","42.00","上海社会科学院出版社","http://img3.douban.com/spic/s1559102.jpg"
"9787508633336","蒋介石与现代中国","陶涵(Jay Taylor)","68.00","中信出版社","http://img3.douban.com/spic/s11134336.jpg"
"9787510812996","战争与革命中的西南联大","易社强","48.00","九州出版社","http://img3.douban.com/spic/s8890500.jpg"
"9787301074237","全球通史（第7版 上册）","[美] 斯塔夫里阿诺斯","88.00","北京大学出版社","http://img3.douban.com/spic/s9985895.jpg"
"9787802412910","田园诗与狂想曲","秦晖","38.00","语文出版社","http://img3.douban.com/spic/s6123571.jpg"
"9787563349128","人类的群星闪耀时","[奥] 斯蒂芬·茨威格","18.00","广西师范大学出版社","http://img3.douban.com/spic/s1134166.jpg"
"9787513310871","寻找·苏慧廉","沈迦","48.00","新星出版社","http://img3.douban.com/spic/s26321390.jpg"
"9787506029001","南京浩劫","张纯如","28.00","东方出版社","http://img3.douban.com/spic/s2714926.jpg"
"9787530624227","李鸿章传","梁启超","10.00","百花文艺出版社","http://img3.douban.com/spic/s1061932.jpg"
"9787549524662","镜子","[乌拉圭]爱德华多·加莱亚诺","48.00","广西师范大学出版社","http://img3.douban.com/spic/s24227756.jpg"
"9787547901588","安持人物琐忆","陈巨来","40.00","上海书画出版社","http://img3.douban.com/spic/s4601320.jpg"
"9787100023986","伯罗奔尼撒战争史","[古希腊]修昔底德","40.00","商务印书馆","http://img3.douban.com/spic/s23488292.jpg"
"9787203063056","中国好人","刀尔登","25.00","山西人民出版社","http://img3.douban.com/spic/s4516431.jpg"
"9787308098120","多难而伟大的十九世纪","(德)托马斯·曼","52.00","浙江大学出版社","http://img3.douban.com/spic/s26335262.jpg"
"9787542611871","叫魂","[美] 孔飞力","19.80","上海三联书店","http://img3.douban.com/spic/s1428843.jpg"
"9787806572955","巴黎烧了吗？","[美] 拉莱·科林斯","20.50","译林出版社","http://img3.douban.com/spic/s1445897.jpg"
"9787508630922","美国种族简史","[美] 托马斯·索威尔","35.00","中信出版社","http://img3.douban.com/spic/s6996621.jpg"
"9787108041531","邓小平时代","傅高义","88.00","生活·读书·新知三联书店","http://img3.douban.com/spic/s24516687.jpg"
"9787535465719","屹见：潘石屹 聊聊我们这个时代","潘石屹","45.00","长江文艺出版社","http://img3.douban.com/spic/s26050323.jpg"
"9787513310901","古拉格","(美)安妮·阿普尔鲍姆","78.00","新星出版社","http://img3.douban.com/spic/s26016760.jpg"
"9787539958422","八九十枝花","沈书枝","29.80","江苏文艺出版社","http://img3.douban.com/spic/s26279077.jpg"
"9787506061322","最后的狂人：我就是邹恒甫","邹恒甫","45.00","东方出版社","http://img3.douban.com/spic/s26373697.jpg"
"9787550213302","致青年电影人的信","[美]霍华德·苏伯（Howard Suber）","25.00","北京联合出版公司","http://img3.douban.com/spic/s24682927.jpg"
"9787539961170","影子里的中国","吴敬琏","39.80","江苏文艺出版社","http://img3.douban.com/spic/s26257767.jpg"
"9787111129752","软件测试经验与教训","Cem Kaner","35.00","机械工业出版社","http://img3.douban.com/spic/s1409646.jpg"
"9787549511228","中国与中国人影像","[英]约翰·汤姆逊","78.00","广西师范大学出版社","http://img3.douban.com/spic/s24227607.jpg"
"9787542639943","被淹没和被拯救的","（意大利）普里莫·莱维","32.00","上海三联书店","http://img3.douban.com/spic/s25808310.jpg"
"9787539911458","一百个人的十年","冯骥才","18.80","江苏文艺出版社","http://img3.douban.com/spic/s23122412.jpg"
"9787506286893","中国古代文化常识","王力 编","25.00","世界图书出版公司","http://img3.douban.com/spic/s5867245.jpg"
"9787222025639","潜规则","吴思","16.00","云南人民出版社","http://img3.douban.com/spic/s3658701.jpg"
